occurrence_date,report_date,report_year,neighbourhood_name,premises_type,status
2015-07-13T00:00:00Z,2015-07-13T00:00:00Z,2015,Stonegate-Queensway (16),House,UNKNOWN
2016-05-03T00:00:00Z,2016-05-03T00:00:00Z,2016,Stonegate-Queensway (16),Educational,STOLEN
2016-07-20T00:00:00Z,2016-07-20T00:00:00Z,2016,Stonegate-Queensway (16),Educational,STOLEN
2016-08-08T00:00:00Z,2016-08-15T00:00:00Z,2016,Stonegate-Queensway (16),House,STOLEN
2016-09-08T00:00:00Z,2016-09-08T00:00:00Z,2016,Stonegate-Queensway (16),Outside,STOLEN
2020-10-18T00:00:00Z,2020-10-19T00:00:00Z,2020,Stonegate-Queensway (16),Apartment,STOLEN
2019-04-19T00:00:00Z,2019-04-22T00:00:00Z,2019,Stonegate-Queensway (16),Outside,STOLEN
2019-04-19T00:00:00Z,2019-04-22T00:00:00Z,2019,Stonegate-Queensway (16),Outside,STOLEN
2014-05-22T00:00:00Z,2014-05-24T00:00:00Z,2014,Stonegate-Queensway (16),House,STOLEN
2014-08-31T00:00:00Z,2014-09-02T00:00:00Z,2014,Stonegate-Queensway (16),Outside,STOLEN
2015-09-02T00:00:00Z,2015-09-03T00:00:00Z,2015,Stonegate-Queensway (16),Apartment,STOLEN
2016-01-22T00:00:00Z,2016-01-26T00:00:00Z,2016,Stonegate-Queensway (16),Outside,STOLEN
2020-06-23T00:00:00Z,2020-06-24T00:00:00Z,2020,Islington-City Centre West (14),Commercial,STOLEN
2020-04-14T00:00:00Z,2020-05-12T00:00:00Z,2020,Stonegate-Queensway (16),Apartment,STOLEN
2020-09-28T00:00:00Z,2020-09-28T00:00:00Z,2020,Stonegate-Queensway (16),Commercial,STOLEN
2018-09-28T00:00:00Z,2018-09-28T00:00:00Z,2018,Stonegate-Queensway (16),Outside,STOLEN
2018-10-02T00:00:00Z,2018-10-02T00:00:00Z,2018,Stonegate-Queensway (16),House,STOLEN
2018-10-02T00:00:00Z,2018-10-02T00:00:00Z,2018,Stonegate-Queensway (16),House,STOLEN
2019-12-16T00:00:00Z,2020-01-02T00:00:00Z,2020,Stonegate-Queensway (16),Other,STOLEN
2019-12-16T00:00:00Z,2020-01-02T00:00:00Z,2020,Stonegate-Queensway (16),Other,STOLEN
2019-12-16T00:00:00Z,2020-01-02T00:00:00Z,2020,Stonegate-Queensway (16),Other,STOLEN
2017-11-09T00:00:00Z,2017-11-09T00:00:00Z,2017,Stonegate-Queensway (16),Other,STOLEN
2018-08-28T00:00:00Z,2018-09-04T00:00:00Z,2018,Stonegate-Queensway (16),House,STOLEN
2015-07-09T00:00:00Z,2015-07-10T00:00:00Z,2015,Stonegate-Queensway (16),Apartment,STOLEN
2016-05-13T00:00:00Z,2016-05-13T00:00:00Z,2016,Stonegate-Queensway (16),Commercial,STOLEN
2016-06-08T00:00:00Z,2016-06-08T00:00:00Z,2016,Stonegate-Queensway (16),Educational,STOLEN
2017-08-02T00:00:00Z,2017-08-02T00:00:00Z,2017,Stonegate-Queensway (16),Outside,STOLEN
2019-06-19T00:00:00Z,2019-06-21T00:00:00Z,2019,Stonegate-Queensway (16),Apartment,STOLEN
2019-10-11T00:00:00Z,2019-10-12T00:00:00Z,2019,Stonegate-Queensway (16),Other,STOLEN
2018-05-08T00:00:00Z,2018-05-30T00:00:00Z,2018,Stonegate-Queensway (16),House,STOLEN
2018-05-08T00:00:00Z,2018-05-30T00:00:00Z,2018,Stonegate-Queensway (16),House,STOLEN
2018-09-17T00:00:00Z,2018-09-17T00:00:00Z,2018,Stonegate-Queensway (16),Other,STOLEN
2014-07-01T00:00:00Z,2014-07-15T00:00:00Z,2014,Stonegate-Queensway (16),Other,STOLEN
2015-07-13T00:00:00Z,2015-07-13T00:00:00Z,2015,Stonegate-Queensway (16),Outside,STOLEN
2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,2015,Stonegate-Queensway (16),House,STOLEN
2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,2015,Stonegate-Queensway (16),House,STOLEN
2016-07-10T00:00:00Z,2016-07-11T00:00:00Z,2016,Stonegate-Queensway (16),Outside,STOLEN
2016-07-18T00:00:00Z,2016-07-23T00:00:00Z,2016,Stonegate-Queensway (16),Commercial,STOLEN
2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,2020,Stonegate-Queensway (16),House,STOLEN
2020-09-13T00:00:00Z,2020-11-13T00:00:00Z,2020,Stonegate-Queensway (16),Other,STOLEN
2020-11-29T00:00:00Z,2020-12-03T00:00:00Z,2020,Stonegate-Queensway (16),House,STOLEN
2018-10-19T00:00:00Z,2018-10-20T00:00:00Z,2018,Stonegate-Queensway (16),House,STOLEN
2018-08-20T00:00:00Z,2018-08-20T00:00:00Z,2018,Stonegate-Queensway (16),Other,STOLEN
2018-07-17T00:00:00Z,2018-07-18T00:00:00Z,2018,Islington-City Centre West (14),Apartment,STOLEN
2019-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019,New Toronto (18),Outside,STOLEN
2018-08-03T00:00:00Z,2018-08-05T00:00:00Z,2018,Islington-City Centre West (14),Outside,RECOVERED
2018-08-03T00:00:00Z,2018-08-05T00:00:00Z,2018,Islington-City Centre West (14),Outside,STOLEN
2018-08-12T00:00:00Z,2018-08-14T00:00:00Z,2018,Islington-City Centre West (14),Apartment,STOLEN
2018-08-14T00:00:00Z,2018-08-22T00:00:00Z,2018,Islington-City Centre West (14),Commercial,STOLEN
2019-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019,Islington-City Centre West (14),House,STOLEN
2019-03-18T00:00:00Z,2019-03-18T00:00:00Z,2019,Islington-City Centre West (14),Commercial,STOLEN
2019-04-28T00:00:00Z,2019-05-12T00:00:00Z,2019,Islington-City Centre West (14),Other,STOLEN
2019-06-28T00:00:00Z,2019-07-08T00:00:00Z,2019,Islington-City Centre West (14),Outside,STOLEN
2019-06-28T00:00:00Z,2019-07-08T00:00:00Z,2019,Islington-City Centre West (14),Outside,STOLEN
2019-05-15T00:00:00Z,2019-07-14T00:00:00Z,2019,Islington-City Centre West (14),Apartment,STOLEN
2019-07-15T00:00:00Z,2019-07-16T00:00:00Z,2019,Islington-City Centre West (14),Transit,STOLEN
2019-07-19T00:00:00Z,2019-07-22T00:00:00Z,2019,Islington-City Centre West (14),Apartment,STOLEN
2019-07-29T00:00:00Z,2019-07-29T00:00:00Z,2019,Islington-City Centre West (14),Other,STOLEN
2019-08-15T00:00:00Z,2019-08-15T00:00:00Z,2019,Islington-City Centre West (14),Commercial,STOLEN
2019-08-05T00:00:00Z,2019-08-22T00:00:00Z,2019,Islington-City Centre West (14),Commercial,STOLEN
2019-08-20T00:00:00Z,2019-08-25T00:00:00Z,2019,Islington-City Centre West (14),Commercial,STOLEN
2019-09-08T00:00:00Z,2019-09-09T00:00:00Z,2019,Islington-City Centre West (14),Outside,STOLEN
2019-10-02T00:00:00Z,2019-10-08T00:00:00Z,2019,Islington-City Centre West (14),Commercial,STOLEN
2019-12-09T00:00:00Z,2019-12-09T00:00:00Z,2019,Islington-City Centre West (14),Apartment,STOLEN
2020-01-08T00:00:00Z,2020-01-09T00:00:00Z,2020,Islington-City Centre West (14),Other,STOLEN
2020-05-27T00:00:00Z,2020-05-27T00:00:00Z,2020,Islington-City Centre West (14),Apartment,STOLEN
2020-05-24T00:00:00Z,2020-05-27T00:00:00Z,2020,Islington-City Centre West (14),Other,STOLEN
